Order ID,Customer ID,Customer DOB,Cookies Shipped,Revenue,Cost,Order Date,Ship Date,Order Status,Rating,Sale Location
413383,152689 - Chidi Martin,8/10/1992,936.00," $4,680.00 "," $2,152.80 ",12/31/2017,1/5/2018,Shipped,1,Markurdi
751142,985245 - Ebenezer Graham,2/3/2003,987.00," $4,935.00 "," $2,368.80 ",12/31/2017,1/4/2018,Shipped,1,Surulere
876056,985245 - Ebenezer Graham,2/3/2003,270.00," $1,350.00 ", $675.00 ,12/30/2017,1/3/2018,Shipped,4,Chibok
548247,985245 - Ebenezer Graham,2/3/2003,925.00," $4,625.00 "," $2,312.50 ",12/30/2017,1/3/2018,Shipped,3,Chibok
626350,152689 - Chidi Martin,8/10/1992,974.00," $4,870.00 "," $2,288.90 ",12/29/2017,1/3/2018,Shipped,1,Abuja
87782,87782 - Uduak Akpabot,12/20/1985,715.00," $3,575.00 "," $1,751.75 ",12/31/2017,1/2/2018,Shipped,5,Ekpoma
200181,325698 - Rusky Onu,4/21/1999,454.00," $2,270.00 ", $908.00 ,12/30/2017,1/2/2018,Shipped,1,Warri
711368,152689 - Chidi Martin,8/10/1992,484.00," $2,420.00 "," $1,210.00 ",12/28/2017,1/2/2018,Shipped,1,Surulere
958419,325698 - Rusky Onu,4/21/1999,269.00," $1,345.00 ", $591.80 ,12/29/2017,1/1/2018,Shipped,5,Chibok
808349,985245 - Ebenezer Graham,2/3/2003,396.00," $1,980.00 ", $990.00 ,12/29/2017,1/1/2018,Shipped,5,Owerri
392582,985245 - Ebenezer Graham,2/3/2003,121.00, $605.00 , $278.30 ,12/28/2017,1/1/2018,Shipped,1,Surulere
415147,152689 - Chidi Martin,8/10/1992,373.00," $1,865.00 ", $801.95 ,12/27/2017,1/1/2018,Shipped,3,Owerri
656789,325698 - Rusky Onu,4/21/1999,118.00, $590.00 , $283.20 ,12/28/2017,12/30/2017,Shipped,4,Markurdi
247229,325698 - Rusky Onu,4/21/1999,137.00, $685.00 , $308.25 ,12/27/2017,12/30/2017,Shipped,5,Surulere
532184,985245 - Michael Ephraim,6/3/2001,574.00," $2,870.00 "," $1,234.10 ",12/26/2017,12/30/2017,Shipped,5,Surulere
412714,325698 - Rusky Onu,4/21/1999,541.00," $2,705.00 "," $1,082.00 ",12/27/2017,12/29/2017,Shipped,4,Zaria
771432,325698 - Rusky Onu,4/21/1999,932.00," $4,660.00 "," $2,330.00 ",12/27/2017,12/29/2017,Shipped,4,Port Harcourt
363695,785432 - Chukwurah Emmanuel,12/20/2007,172.00, $860.00 , $387.00 ,12/24/2017,12/29/2017,Shipped,5,Zaria
395821,452584 - Ujunwa Aisha,9/26/1989,647.00," $3,235.00 "," $1,294.00 ",12/26/2017,12/28/2017,Shipped,2,Zaria
234191,325698 - Rusky Onu,4/21/1999,660.00," $3,300.00 "," $1,386.00 ",12/26/2017,12/28/2017,Shipped,2,Lekki
584039,325698 - Rusky Onu,4/21/1999,907.00," $4,535.00 "," $1,814.00 ",12/26/2017,12/28/2017,Shipped,3,Abuja
463601,325698 - Rusky Onu,4/21/1999,429.00," $2,145.00 ", $858.00 ,12/26/2017,12/28/2017,Shipped,5,Abuja
826310,325698 - Rusky Onu,4/21/1999,645.00," $3,225.00 "," $1,612.50 ",12/26/2017,12/28/2017,Shipped,1,Zaria
942932,985245 - Ebenezer Graham,2/3/2003,260.00," $1,300.00 ", $585.00 ,12/24/2017,12/27/2017,Shipped,1,Markurdi
661123,985245 - Ebenezer Graham,2/3/2003,847.00," $4,235.00 "," $1,694.00 ",12/24/2017,12/27/2017,Shipped,5,Markurdi
325363,985245 - Ebenezer Graham,2/3/2003,881.00," $4,405.00 "," $1,894.15 ",12/23/2017,12/27/2017,Shipped,4,Markurdi
